date,time,TLoad,TAmp,TPlate,T4,VDetector,Elevation,V3,V4,Sky,Hot,Amp,Noise,LOMHz
21.09.2020,14:46:48.105889,22.332,25.931865,22.759488,-274.15,2.203923,11.166708,2.525211,0.836228,0,1,1,0,18485
21.09.2020,14:46:48.597521,22.336,25.934625,22.759902,-274.15,2.204399,11.175784,2.52488,0.837082,0,1,1,0,18485
21.09.2020,14:46:49.112439,22.334,25.936908,22.761525,-274.15,2.203439,11.157874,2.524792,0.832317,0,1,1,0,18485
21.09.2020,14:46:49.599128,22.336,25.942004,22.765541,-274.15,2.204187,11.1651,2.524857,0.837014,0,1,1,0,18485
21.09.2020,14:46:50.095874,22.335,25.945564,22.764066,-274.15,2.204236,11.163077,2.524629,0.832897,0,1,1,0,18485
21.09.2020,14:46:50.611954,22.332,25.94219,22.765178,-274.15,2.20309,11.161746,2.52486,0.837306,0,1,1,0,18485
21.09.2020,14:46:51.106168,22.334,25.950245,22.767772,-274.15,2.203871,11.167175,2.524993,0.836502,0,1,1,0,18485
21.09.2020,14:46:51.597489,22.332,25.949825,22.769476,-274.15,2.202871,11.170753,2.524618,0.836408,0,1,1,0,18485
21.09.2020,14:46:52.097316,22.332,25.953346,22.769785,-274.15,2.203856,11.160968,2.524706,0.830551,0,1,1,0,18485
21.09.2020,14:46:52.611823,22.336,25.95935,22.775173,-274.15,2.203236,11.165013,2.524991,0.832025,0,1,1,0,18485
21.09.2020,14:46:53.097504,22.334,25.960793,22.774184,-274.15,2.203915,11.165083,2.524855,0.831082,0,1,1,0,18485
21.09.2020,14:46:53.612025,22.332,25.959591,22.77421,-274.15,2.203733,11.164944,2.524683,0.833326,0,1,1,0,18485
21.09.2020,14:46:54.097727,22.336,25.966206,22.777904,-274.15,2.203238,11.162126,2.523862,0.836485,0,1,1,0,18485
21.09.2020,14:46:54.596922,22.33,25.966087,22.777443,-274.15,2.20378,11.167365,2.524568,0.833421,0,1,1,0,18485
21.09.2020,14:46:55.110775,22.331,25.965382,22.777905,-274.15,2.204001,11.166518,2.525009,0.829834,0,1,1,0,18485
21.09.2020,14:46:55.607003,22.335,25.973743,22.781169,-274.15,2.203113,11.17428,2.524896,0.834277,0,1,1,0,18485
21.09.2020,14:46:56.098400,22.333,25.976619,22.783286,-274.15,2.202518,11.169457,2.524808,0.832505,0,1,1,0,18485
21.09.2020,14:46:56.597863,22.333,25.977741,22.785424,-274.15,2.203331,11.170563,2.524932,0.834175,0,1,1,0,18485
21.09.2020,14:46:57.112707,22.332,25.976966,22.782043,-274.15,2.206497,11.170165,2.524539,0.835094,0,1,1,0,18485
21.09.2020,14:46:57.606778,22.335,25.985767,22.788238,-274.15,2.206275,11.176095,2.524773,0.83432,0,1,1,0,18485
21.09.2020,14:46:58.096743,22.334,25.989189,22.79079,-274.15,2.205838,11.176147,2.524475,0.831739,0,1,1,0,18485
21.09.2020,14:46:58.611798,22.329,25.988731,22.790388,-274.15,2.205307,11.167901,2.524686,0.836954,0,1,1,0,18485
21.09.2020,14:46:59.096731,22.333,25.992363,22.792883,-274.15,2.20449,11.166397,2.524843,0.831572,0,1,1,0,18485
21.09.2020,14:46:59.611921,22.334,25.993525,22.792593,-274.15,2.205912,11.173122,2.525063,0.837922,0,1,1,0,18485
21.09.2020,14:47:00.098393,22.332,25.997331,22.794531,-274.15,2.207112,11.171877,2.524679,0.836623,0,1,1,0,18485
21.09.2020,14:47:00.597688,22.337,26.002032,22.800416,-274.15,2.204683,11.171445,2.524518,0.832693,0,1,1,0,18485
21.09.2020,14:47:01.113369,22.336,26.003798,22.800286,-274.15,2.206349,11.179052,2.524786,0.83541,0,1,1,0,18485
21.09.2020,14:47:01.598269,22.333,26.00443,22.798695,-274.15,2.205176,11.169266,2.524955,0.833113,0,1,1,0,18485
21.09.2020,14:47:02.112122,22.338,26.009244,22.80554,-274.15,2.20602,11.174885,2.5248,0.832083,0,1,1,0,18485
21.09.2020,14:47:02.599794,22.332,26.008165,22.803104,-274.15,2.204911,11.165117,2.524788,0.833029,0,1,1,0,18485
21.09.2020,14:47:03.112437,22.337,26.012551,22.802435,-274.15,2.205453,11.172067,2.525026,0.832523,0,1,1,0,18485
21.09.2020,14:47:03.598471,22.337,26.017458,22.808055,-274.15,2.205491,11.166915,2.525286,0.836166,0,1,1,0,18485
21.09.2020,14:47:04.110774,22.334,26.017764,22.809731,-274.15,2.204434,11.168229,2.5249,0.837438,0,1,1,0,18485
21.09.2020,14:47:04.598312,22.334,26.016957,22.807359,-274.15,2.205073,11.17326,2.524552,0.835083,0,1,1,0,18485
21.09.2020,14:47:05.112578,22.332,26.022192,22.810802,-274.15,2.206115,11.167399,2.524912,0.832381,0,1,1,0,18485
21.09.2020,14:47:05.599133,22.336,26.026146,22.813387,-274.15,2.205232,11.177686,2.524641,0.837824,0,1,1,0,18485
21.09.2020,14:47:06.112425,22.336,26.026582,22.814286,-274.15,2.206025,11.16669,2.525159,0.835581,0,1,1,0,18485
21.09.2020,14:47:06.599084,22.337,26.030551,22.816931,-274.15,2.204684,11.173191,2.52497,0.834443,0,1,1,0,18485
21.09.2020,14:47:07.112673,22.339,26.035878,22.818777,-274.15,2.206833,11.172534,2.524577,0.835631,0,1,1,0,18485
21.09.2020,14:47:07.597789,22.332,26.036164,22.818852,-274.15,2.206496,11.183461,2.52529,0.834454,0,1,1,0,18485
21.09.2020,14:47:08.110829,22.331,26.036885,22.817423,-274.15,2.204914,11.169111,2.525318,0.83253,0,1,1,0,18485
21.09.2020,14:47:08.598269,22.334,26.040536,22.821722,-274.15,2.205663,11.174367,2.525427,0.834809,0,1,1,0,18485
21.09.2020,14:47:09.098485,22.338,26.04346,22.823122,-274.15,2.206184,11.164547,2.525706,0.829808,0,1,1,0,18485
21.09.2020,14:47:09.612584,22.339,26.044558,22.827599,-274.15,2.204516,11.164806,2.525077,0.835193,0,1,1,0,18485
21.09.2020,14:47:10.098450,22.337,26.047511,22.828831,-274.15,2.20433,11.169941,2.525114,0.832641,0,1,1,0,18485
21.09.2020,14:47:10.611864,22.335,26.051392,22.828318,-274.15,2.206595,11.173537,2.525012,0.835913,0,1,1,0,18485
21.09.2020,14:47:11.098319,22.339,26.054199,22.830873,-274.15,2.205691,11.176286,2.525094,0.832146,0,1,1,0,18485
21.09.2020,14:47:11.612633,22.332,26.055501,22.834516,-274.15,2.205003,11.170805,2.524844,0.838091,0,1,1,0,18485
21.09.2020,14:47:12.096920,22.338,26.061943,22.834627,-274.15,2.20619,11.175732,2.525333,0.837576,0,1,1,0,18485
21.09.2020,14:47:12.612375,22.336,26.058361,22.832542,-274.15,2.206033,11.164426,2.524652,0.833786,0,1,1,0,18485
21.09.2020,14:47:13.096766,22.339,26.066629,22.838771,-274.15,2.204787,11.166137,2.525019,0.830058,0,1,1,0,18485
21.09.2020,14:47:13.612642,22.336,26.065129,22.835209,-274.15,2.204106,11.168627,2.526047,0.837323,0,1,1,0,18485
21.09.2020,14:47:14.098630,22.333,26.06859,22.837259,-274.15,2.205244,11.182873,2.525663,0.830067,0,1,1,0,18485
21.09.2020,14:47:14.596875,22.339,26.073287,22.838657,-274.15,2.205305,11.160864,2.524718,0.832708,0,1,1,0,18485
21.09.2020,14:47:15.106668,22.337,26.072012,22.840594,-274.15,2.205266,11.168471,2.525107,0.835456,0,1,1,0,18485
21.09.2020,14:47:15.606048,22.341,26.078497,22.845516,-274.15,2.204642,11.171479,2.525095,0.833142,0,1,1,0,18485
21.09.2020,14:47:16.106643,22.341,26.083981,22.848836,-274.15,2.204804,11.172257,2.525061,0.837361,0,1,1,0,18485
21.09.2020,14:47:16.605754,22.34,26.081185,22.848113,-274.15,2.204194,11.168644,2.525046,0.833287,0,1,1,0,18485
21.09.2020,14:47:17.105731,22.338,26.08219,22.847685,-274.15,2.204834,11.169405,2.524763,0.838704,0,1,1,0,18485
21.09.2020,14:47:17.607104,22.34,26.088501,22.851342,-274.15,2.205418,11.173312,2.524595,0.838395,0,1,1,0,18485
21.09.2020,14:47:18.105858,22.342,26.091533,22.852837,-274.15,2.204926,11.169768,2.524618,0.833696,0,1,1,0,18485
21.09.2020,14:47:18.606698,22.344,26.092129,22.856621,-274.15,2.203407,11.172862,2.524314,0.838188,0,1,1,0,18485
21.09.2020,14:47:19.105850,22.339,26.092307,22.853856,-274.15,2.204829,11.173502,2.524775,0.838575,0,1,1,0,18485
